Intan,Connector,Array,Bank,elec,label,col,row,probe_group,brain_area
C-008,C,1,C,31,elec1,9,1,ABC,aIT
A-007,A,2,A,32,elec2,9,2,ABC,aIT
A-006,A,3,A,30,elec3,9,3,ABC,aIT
A-005,A,4,A,28,elec4,9,4,ABC,aIT
A-004,A,5,A,26,elec5,9,5,ABC,aIT
A-003,A,6,A,24,elec6,9,6,ABC,aIT
A-002,A,7,A,22,elec7,9,7,ABC,aIT
A-000,A,8,A,18,elec8,9,8,ABC,aIT
C-007,C,9,C,32,elec9,8,0,ABC,aIT
B-008,B,10,B,31,elec10,8,1,ABC,aIT
B-009,B,11,B,29,elec11,8,2,ABC,aIT
B-007,B,12,B,32,elec12,8,3,ABC,aIT
A-008,A,13,A,31,elec13,8,4,ABC,aIT
A-009,A,14,A,29,elec14,8,5,ABC,aIT
A-010,A,15,A,27,elec15,8,6,ABC,aIT
A-001,A,16,A,20,elec16,8,7,ABC,aIT
A-031,A,17,A,16,elec17,8,8,ABC,aIT
A-030,A,18,A,14,elec18,8,9,ABC,aIT
C-009,C,19,C,29,elec19,7,0,ABC,aIT
C-006,C,20,C,30,elec20,7,1,ABC,aIT
B-010,B,21,B,27,elec21,7,2,ABC,aIT
B-005,B,22,B,28,elec22,7,3,ABC,aIT
B-006,B,23,B,30,elec23,7,4,ABC,aIT
A-013,A,24,A,21,elec24,7,5,ABC,aIT
A-011,A,25,A,25,elec25,7,6,ABC,aIT
A-012,A,26,A,23,elec26,7,7,ABC,aIT
A-029,A,27,A,12,elec27,7,8,ABC,aIT
A-028,A,28,A,10,elec28,7,9,ABC,aIT
C-005,C,29,C,28,elec29,6,0,ABC,aIT
C-010,C,30,C,27,elec30,6,1,ABC,aIT
B-011,B,31,B,25,elec31,6,2,ABC,aIT
B-004,B,32,B,26,elec32,6,3,ABC,aIT
B-001,B,33,B,20,elec33,6,4,ABC,aIT
B-002,B,34,B,22,elec34,6,5,ABC,aIT
A-014,A,35,A,19,elec35,6,6,ABC,aIT
A-017,A,36,A,13,elec36,6,7,ABC,aIT
A-018,A,37,A,11,elec37,6,8,ABC,aIT
A-027,A,38,A,8,elec38,6,9,ABC,aIT
C-004,C,39,C,26,elec39,5,0,ABC,aIT
C-011,C,40,C,25,elec40,5,1,ABC,aIT
B-012,B,41,B,23,elec41,5,2,ABC,aIT
B-003,B,42,B,24,elec42,5,3,ABC,aIT
B-030,B,43,B,14,elec43,5,4,ABC,aIT
B-000,B,44,B,18,elec44,5,5,ABC,aIT
A-016,A,45,A,15,elec45,5,6,ABC,aIT
A-015,A,46,A,17,elec46,5,7,ABC,aIT
A-019,A,47,A,9,elec47,5,8,ABC,aIT
A-026,A,48,A,6,elec48,5,9,ABC,aIT
C-003,C,49,C,24,elec49,4,0,ABC,aIT
C-012,C,50,C,23,elec50,4,1,ABC,aIT
B-013,B,51,B,21,elec51,4,2,ABC,aIT
B-014,B,52,B,19,elec52,4,3,ABC,aIT
B-029,B,53,B,12,elec53,4,4,ABC,aIT
B-028,B,54,B,10,elec54,4,5,ABC,aIT
B-031,B,55,B,16,elec55,4,6,ABC,aIT
A-021,A,56,A,5,elec56,4,7,ABC,aIT
A-020,A,57,A,7,elec57,4,8,ABC,aIT
A-025,A,58,A,4,elec58,4,9,ABC,aIT
C-013,C,59,C,21,elec59,3,0,ABC,aIT
C-002,C,60,C,22,elec60,3,1,ABC,aIT
B-015,B,61,B,17,elec61,3,2,ABC,aIT
B-016,B,62,B,15,elec62,3,3,ABC,aIT
B-018,B,63,B,11,elec63,3,4,ABC,aIT
B-027,B,64,B,8,elec64,3,5,ABC,aIT
B-026,B,65,B,6,elec65,3,6,ABC,aIT
B-025,B,66,B,4,elec66,3,7,ABC,aIT
B-024,B,67,B,2,elec67,3,8,ABC,aIT
A-022,A,68,A,3,elec68,3,9,ABC,aIT
C-014,C,69,C,19,elec69,2,0,ABC,aIT
C-001,C,70,C,20,elec70,2,1,ABC,aIT
C-000,C,71,C,18,elec71,2,2,ABC,aIT
B-017,B,72,B,13,elec72,2,3,ABC,aIT
B-019,B,73,B,9,elec73,2,4,ABC,aIT
B-020,B,74,B,7,elec74,2,5,ABC,aIT
B-021,B,75,B,5,elec75,2,6,ABC,aIT
B-022,B,76,B,3,elec76,2,7,ABC,aIT
B-023,B,77,B,1,elec77,2,8,ABC,aIT
A-023,A,78,A,1,elec78,2,9,ABC,aIT
C-015,C,79,C,17,elec79,1,0,ABC,aIT
C-031,C,80,C,16,elec80,1,1,ABC,aIT
C-030,C,81,C,14,elec81,1,2,ABC,aIT
C-029,C,82,C,12,elec82,1,3,ABC,aIT
C-028,C,83,C,10,elec83,1,4,ABC,aIT
C-027,C,84,C,8,elec84,1,5,ABC,aIT
C-026,C,85,C,6,elec85,1,6,ABC,aIT
C-025,C,86,C,4,elec86,1,7,ABC,aIT
C-024,C,87,C,2,elec87,1,8,ABC,aIT
A-024,A,88,A,2,elec88,1,9,ABC,aIT
C-016,C,89,C,15,elec89,0,1,ABC,aIT
C-017,C,90,C,13,elec90,0,2,ABC,aIT
C-018,C,91,C,11,elec91,0,3,ABC,aIT
C-019,C,92,C,9,elec92,0,4,ABC,aIT
C-020,C,93,C,7,elec93,0,5,ABC,aIT
C-021,C,94,C,5,elec94,0,6,ABC,aIT
C-022,C,95,C,3,elec95,0,7,ABC,aIT
C-023,C,96,C,1,elec96,0,8,ABC,aIT
F-008,F,1,F,31,elec1,9,1,FDE,cIT
D-007,D,2,D,32,elec2,9,2,FDE,cIT
D-006,D,3,D,30,elec3,9,3,FDE,cIT
D-005,D,4,D,28,elec4,9,4,FDE,cIT
D-004,D,5,D,26,elec5,9,5,FDE,cIT
D-003,D,6,D,24,elec6,9,6,FDE,cIT
D-002,D,7,D,22,elec7,9,7,FDE,cIT
D-000,D,8,D,18,elec8,9,8,FDE,cIT
