Intan,Connector,Array,Bank,elec,label,col,row,probe_group,brain_area
A-000,A,1,A,1,elec1,9,8,ABC,aIT
A-001,A,2,A,2,elec2,8,7,ABC,aIT
A-002,A,3,A,3,elec3,9,7,ABC,aIT
A-003,A,4,A,4,elec4,9,6,ABC,aIT
A-004,A,5,A,5,elec5,9,5,ABC,aIT
A-005,A,6,A,6,elec6,9,4,ABC,aIT
A-006,A,7,A,7,elec7,9,3,ABC,aIT
A-007,A,8,A,8,elec8,9,2,ABC,aIT
A-008,A,9,A,9,elec9,8,4,ABC,aIT
A-009,A,10,A,10,elec10,8,5,ABC,aIT
A-010,A,11,A,11,elec11,8,6,ABC,aIT
A-011,A,12,A,12,elec12,7,6,ABC,aIT
A-012,A,13,A,13,elec13,7,7,ABC,aIT
A-013,A,14,A,14,elec14,7,5,ABC,aIT
A-014,A,15,A,15,elec15,6,6,ABC,aIT
A-015,A,16,A,16,elec16,5,7,ABC,aIT
A-016,A,17,A,17,elec17,5,6,ABC,aIT
A-017,A,18,A,18,elec18,6,7,ABC,aIT
A-018,A,19,A,19,elec19,6,8,ABC,aIT
A-019,A,20,A,20,elec20,5,8,ABC,aIT
A-020,A,21,A,21,elec21,4,8,ABC,aIT
A-021,A,22,A,22,elec22,4,7,ABC,aIT
A-022,A,23,A,23,elec23,3,9,ABC,aIT
A-023,A,24,A,24,elec24,2,9,ABC,aIT
A-024,A,25,A,25,elec25,1,9,ABC,aIT
A-025,A,26,A,26,elec26,4,9,ABC,aIT
A-026,A,27,A,27,elec27,5,9,ABC,aIT
A-027,A,28,A,28,elec28,6,9,ABC,aIT
A-028,A,29,A,29,elec29,7,9,ABC,aIT
A-029,A,30,A,30,elec30,7,8,ABC,aIT
A-030,A,31,A,31,elec31,8,9,ABC,aIT
A-031,A,32,A,32,elec32,8,8,ABC,aIT
B-000,B,33,B,1,elec33,5,5,ABC,aIT
B-001,B,34,B,2,elec34,6,4,ABC,aIT
B-002,B,35,B,3,elec35,6,5,ABC,aIT
B-003,B,36,B,4,elec36,5,3,ABC,aIT
B-004,B,37,B,5,elec37,6,3,ABC,aIT
B-005,B,38,B,6,elec38,7,3,ABC,aIT
B-006,B,39,B,7,elec39,7,4,ABC,aIT
B-007,B,40,B,8,elec40,8,3,ABC,aIT
B-008,B,41,B,9,elec41,8,1,ABC,aIT
B-009,B,42,B,10,elec42,8,2,ABC,aIT
B-010,B,43,B,11,elec43,7,2,ABC,aIT
B-011,B,44,B,12,elec44,6,2,ABC,aIT
B-012,B,45,B,13,elec45,5,2,ABC,aIT
B-013,B,46,B,14,elec46,4,2,ABC,aIT
B-014,B,47,B,15,elec47,4,3,ABC,aIT
B-015,B,48,B,16,elec48,3,2,ABC,aIT
B-016,B,49,B,17,elec49,3,3,ABC,aIT
B-017,B,50,B,18,elec50,2,3,ABC,aIT
B-018,B,51,B,19,elec51,3,4,ABC,aIT
B-019,B,52,B,20,elec52,2,4,ABC,aIT
B-020,B,53,B,21,elec53,2,5,ABC,aIT
B-021,B,54,B,22,elec54,2,6,ABC,aIT
B-022,B,55,B,23,elec55,2,7,ABC,aIT
B-023,B,56,B,24,elec56,2,8,ABC,aIT
B-024,B,57,B,25,elec57,3,8,ABC,aIT
B-025,B,58,B,26,elec58,3,7,ABC,aIT
B-026,B,59,B,27,elec59,3,6,ABC,aIT
B-027,B,60,B,28,elec60,3,5,ABC,aIT
B-028,B,61,B,29,elec61,4,5,ABC,aIT
B-029,B,62,B,30,elec62,4,4,ABC,aIT
B-030,B,63,B,31,elec63,5,4,ABC,aIT
B-031,B,64,B,32,elec64,4,6,ABC,aIT
C-000,C,65,C,1,elec65,2,2,ABC,aIT
C-001,C,66,C,2,elec66,2,1,ABC,aIT
C-002,C,67,C,3,elec67,3,1,ABC,aIT
C-003,C,68,C,4,elec68,4,0,ABC,aIT
C-004,C,69,C,5,elec69,5,0,ABC,aIT
C-005,C,70,C,6,elec70,6,0,ABC,aIT
C-006,C,71,C,7,elec71,7,1,ABC,aIT
C-007,C,72,C,8,elec72,8,0,ABC,aIT
C-008,C,73,C,9,elec73,9,1,ABC,aIT
C-009,C,74,C,10,elec74,7,0,ABC,aIT
C-010,C,75,C,11,elec75,6,1,ABC,aIT
C-011,C,76,C,12,elec76,5,1,ABC,aIT
C-012,C,77,C,13,elec77,4,1,ABC,aIT
C-013,C,78,C,14,elec78,3,0,ABC,aIT
C-014,C,79,C,15,elec79,2,0,ABC,aIT
C-015,C,80,C,16,elec80,1,0,ABC,aIT
C-016,C,81,C,17,elec81,0,1,ABC,aIT
C-017,C,82,C,18,elec82,0,2,ABC,aIT
C-018,C,83,C,19,elec83,0,3,ABC,aIT
C-019,C,84,C,20,elec84,0,4,ABC,aIT
C-020,C,85,C,21,elec85,0,5,ABC,aIT
C-021,C,86,C,22,elec86,0,6,ABC,aIT
C-022,C,87,C,23,elec87,0,7,ABC,aIT
C-023,C,88,C,24,elec88,0,8,ABC,aIT
C-024,C,89,C,25,elec89,1,8,ABC,aIT
C-025,C,90,C,26,elec90,1,7,ABC,aIT
C-026,C,91,C,27,elec91,1,6,ABC,aIT
C-027,C,92,C,28,elec92,1,5,ABC,aIT
C-028,C,93,C,29,elec93,1,4,ABC,aIT
C-029,C,94,C,30,elec94,1,3,ABC,aIT
C-030,C,95,C,31,elec95,1,2,ABC,aIT
C-031,C,96,C,32,elec96,1,1,ABC,aIT
D-000,D,1,D,1,elec1,9,8,FDE,cIT
D-001,D,2,D,2,elec2,8,7,FDE,cIT
D-002,D,3,D,3,elec3,9,7,FDE,cIT
D-003,D,4,D,4,elec4,9,6,FDE,cIT
D-004,D,5,D,5,elec5,9,5,FDE,cIT
D-005,D,6,D,6,elec6,9,4,FDE,cIT
D-006,D,7,D,7,elec7,9,3,FDE,cIT
